time_s,reference,response,disturbance,baseline,method_a,method_b
9.34,1,0.9835,-0.0167,1.0214,0.9835,0.9925
9.36,1,0.9832,-0.017,1.0215,0.9832,0.9923
9.38,1,0.9831,-0.0171,1.0216,0.9831,0.9923
9.4,1,0.9832,-0.017,1.0216,0.9832,0.9923
9.42,1,0.9836,-0.0167,1.0216,0.9836,0.9925
9.44,1,0.9841,-0.0161,1.0216,0.9841,0.9927
9.46,1,0.9848,-0.0153,1.0215,0.9848,0.9931
9.48,1,0.9858,-0.0144,1.0214,0.9858,0.9935
9.5,1,0.9869,-0.0133,1.0213,0.9869,0.994
9.52,1,0.9881,-0.012,1.0212,0.9881,0.9946
9.54,1,0.9895,-0.0106,1.021,0.9895,0.9952
9.56,1,0.991,-0.0091,1.0209,0.991,0.9959
9.58,1,0.9926,-0.0075,1.0207,0.9926,0.9966
9.6,1,0.9943,-0.0058,1.0204,0.9943,0.9974
9.62,1,0.996,-0.0041,1.0202,0.996,0.9981
9.64,1,0.9978,-0.0024,1.0199,0.9978,0.9989
9.66,1,0.9995,-0.0006,1.0196,0.9995,0.9997
9.68,1,1.0013,0.0012,1.0193,1.0013,1.0005
9.7,1,1.003,0.0029,1.019,1.003,1.0013
9.72,1,1.0046,0.0045,1.0187,1.0046,1.002
9.74,1,1.0062,0.0061,1.0183,1.0062,1.0027
9.76,1,1.0076,0.0076,1.018,1.0076,1.0034
9.78,1,1.009,0.0089,1.0176,1.009,1.004
9.8,1,1.0102,0.0101,1.0172,1.0102,1.0046
9.82,1,1.0113,0.0112,1.0167,1.0113,1.005
9.84,1,1.0122,0.0121,1.0163,1.0122,1.0055
9.86,1,1.0129,0.0129,1.0159,1.0129,1.0058
9.88,1,1.0135,0.0135,1.0154,1.0135,1.0061
9.9,1,1.0139,0.0138,1.015,1.0139,1.0062
9.92,1,1.0141,0.0141,1.0145,1.0141,1.0063
9.94,1,1.0141,0.0141,1.014,1.0141,1.0063
9.96,1,1.0139,0.0139,1.0135,1.0139,1.0063
9.98,1,1.0136,0.0136,1.013,1.0136,1.0061
10,1,1.0131,0.0131,1.0125,1.0131,1.0059
